Datum;Regen_(L/m2_mm);Quellwasser_imNetz_absolut;Quellwasser_imNetz_prozent;Grundwasser_imNetz_absolut;Grundwasser_imNetz_prozent;NiederschlagZweisimmen
23.08.2022;0;3633;61;2309;39;0
24.08.2022;0;3767;61;2407;39;0
25.08.2022;0;3317;54;2810;46;0
26.08.2022;32;3187;53;2823;47;3.6
27.08.2022;0;2645;47;2925;53;0
28.08.2022;0;2875;54;2420;46;0
29.08.2022;0;3415;58;2446;42;0
30.08.2022;16;2613;48;2805;52;14.1
31.08.2022;0;2992;57;2292;43;0
01.09.2022;0;3052;57;2281;43;0
02.09.2022;0;3370;62;2043;38;0.6
03.09.2022;6;2534;49;2623;51;8.2
04.09.2022;0;3113;63;1799;37;0.1
05.09.2022;0;2997;56;2379;44;0
06.09.2022;5;2944;56;2307;44;7.1
07.09.2022;9;2804;55;2264;45;18.9
08.09.2022;27;2506;50;2459;50;12.9
09.09.2022;2;3899;78;1126;22;1.7
10.09.2022;5;3782;76;1175;24;2.7
11.09.2022;0;3638;75;1206;25;0
12.09.2022;0;3574;71;1456;29;0
13.09.2022;0;3589;73;1336;27;0
14.09.2022;5;3667;75;1191;25;7.8
15.09.2022;11;3543;73;1312;27;7.3
16.09.2022;13;3409;70;1491;30;3.2
17.09.2022;1;3464;74;1241;26;1.8
18.09.2022;0;3332;73;1205;27;0
19.09.2022;0;3609;76;1157;24;0
20.09.2022;0;3544;75;1167;25;0
21.09.2022;0;3258;69;1484;31;0
22.09.2022;0;3449;73;1286;27;0
23.09.2022;0;3462;72;1329;28;0
24.09.2022;5;3247;74;1134;26;5.6
25.09.2022;7;3061;73;1135;27;9.3
26.09.2022;1;3232;71;1305;29;1.2
27.09.2022;10;3167;71;1308;29;14.4
28.09.2022;42;2940;66;1526;34;32.8
29.09.2022;15;3574;79;929;21;16.2
30.09.2022;0;3580;77;1083;23;1.7
01.10.2022;12;3993;93;315;7;10.1
02.10.2022;6;3769;92;345;8;4.8
03.10.2022;0;4109;92;348;8;0
04.10.2022;0;4010;90;435;10;0
05.10.2022;0;4052;90;431;10;0
06.10.2022;0;3952;90;449;10;0
07.10.2022;0;3936;91;412;9;0
08.10.2022;4;3795;92;308;8;2.2
09.10.2022;0;3623;92;316;8;0.1
10.10.2022;0;3757;85;685;15;0
11.10.2022;2;3986;89;485;11;0
12.10.2022;0;3021;68;1409;32;0.7
13.10.2022;1;3753;86;628;14;1.7
14.10.2022;2;3936;85;684;15;1.6
15.10.2022;1;3743;84;728;16;0.8
16.10.2022;0;3768;87;546;13;0
17.10.2022;0;3981;85;690;15;0
18.10.2022;0;3782;82;823;18;0
19.10.2022;0;3643;79;955;21;0
20.10.2022;4;3639;82;788;18;2.5
21.10.2022;7;3721;85;670;15;12.3
22.10.2022;17;3171;74;1135;26;6.5
23.10.2022;5;2056;49;2130;51;3.8
24.10.2022;28;2529;56;2010;44;23.8
25.10.2022;0;4155;92;371;8;0.2
26.10.2022;6;4407;98;68;2;5.6
27.10.2022;0;4094;92;355;8;0
28.10.2022;0;3974;88;548;12;0
29.10.2022;0;4042;94;256;6;0
30.10.2022;0;4232;100;2;0;0
31.10.2022;0;4103;92;369;8;0
01.11.2022;0;3989;92;343;8;0
02.11.2022;0;3808;90;436;10;0
03.11.2022;13;3909;92;361;8;12.9
04.11.2022;5;3974;93;291;7;3.4
05.11.2022;1;3754;95;194;5;1.9
06.11.2022;0;3826;100;2;0;0
07.11.2022;0;3708;90;392;10;0
08.11.2022;0;4169;89;507;11;0
09.11.2022;16;3312;82;742;18;14.4
10.11.2022;0;3047;75;997;25;0.2
11.11.2022;0;3590;83;729;17;0
12.11.2022;0;3438;85;619;15;0
13.11.2022;0;3881;100;2;0;0
14.11.2022;2;3814;92;336;8;1.9
15.11.2022;0;3432;84;654;16;0.3
16.11.2022;6;3241;78;893;22;4.5
17.11.2022;8;3526;87;534;13;5
18.11.2022;6;3810;93;304;7;6.2
19.11.2022;0;3662;94;231;6;0
20.11.2022;1;3766;100;1;0;0.8
21.11.2022;4;3781;91;382;9;3.8
22.11.2022;8;2784;68;1288;32;5.5
23.11.2022;5;3511;85;620;15;5.3
24.11.2022;1;4260;92;371;8;0.2
25.11.2022;2;4126;90;469;10;1.9
26.11.2022;0;4075;90;449;10;0.1
27.11.2022;0;4017;91;379;9;0
28.11.2022;0;3758;89;474;11;0.4
29.11.2022;2;2971;69;1321;31;3.2
30.11.2022;0;3112;69;1391;31;0
01.12.2022;0;3901;88;523;12;0
02.12.2022;0;3891;86;613;14;0
03.12.2022;0;3784;84;696;16;0
04.12.2022;0;3619;88;488;12;0
05.12.2022;4;3879;83;769;17;3
06.12.2022;0;4055;81;968;19;0
07.12.2022;0;3536;69;1567;31;0
08.12.2022;0;2671;53;2414;47;0
09.12.2022;20;3672;84;717;16;18.9
10.12.2022;3;3971;87;585;13;4.5
11.12.2022;0;4497;89;563;11;0
12.12.2022;0;3860;63;2246;37;0
13.12.2022;0;3834;76;1231;24;0
14.12.2022;4;3800;79;989;21;4.4
15.12.2022;5;3861;82;865;18;5.5
16.12.2022;9;4137;86;646;14;9.3
17.12.2022;0;4478;82;1013;18;0
18.12.2022;0;3892;72;1528;28;0
19.12.2022;0;3829;74;1323;26;0
20.12.2022;0;3942;75;1281;25;0
21.12.2022;4;4079;78;1164;22;3.6
22.12.2022;7;4899;90;527;10;7.2
23.12.2022;51;3737;67;1828;33;37.3
24.12.2022;10;4906;86;822;14;5.7
25.12.2022;0;5584;96;220;4;0
26.12.2022;12;5242;86;844;14;12.5
27.12.2022;2;5415;85;940;15;0.3
28.12.2022;0;5550;85;965;15;0
29.12.2022;2;5525;84;1037;16;5.9
30.12.2022;16;5382;82;1209;18;10.7
31.12.2022;0;5339;78;1488;22;0
